,ticker,date,exchange_rate
0,005490.KS,2018-12-31,0.0008959802180088111
1,005490.KS,2019-12-31,0.0008666337519671676
2,005490.KS,2020-12-31,0.0009184880239520959
3,005490.KS,2021-12-31,0.0008412186752625559
4,2330.TW,2018-12-31,0.0327
5,2330.TW,2019-12-31,0.0334
6,2330.TW,2020-12-31,0.0356
7,2330.TW,2021-12-31,0.0361
8,2412.TW,2018-12-31,0.0327
9,2412.TW,2019-12-31,0.0334
10,2412.TW,2020-12-31,0.0356
11,2412.TW,2021-12-31,0.0361
12,4502.T,2019-03-31,0.009027721976697468
13,4502.T,2020-03-31,0.009214465937762826
14,4502.T,2021-03-31,0.009025479177892388
15,4502.T,2022-03-31,0.008212621143744915
16,6758.T,2019-03-31,0.009027721976697468
17,6758.T,2020-03-31,0.009214465937762826
18,6758.T,2021-03-31,0.009025479177892388
19,6758.T,2022-03-31,0.008212621143744915
20,7267.T,2019-03-31,0.009027721976697468
21,7267.T,2020-03-31,0.009214465937762826
22,7267.T,2021-03-31,0.009025479177892388
23,7267.T,2022-03-31,0.008212621143744915
24,7751.T,2018-12-31,0.00909813269765594
25,7751.T,2019-12-31,0.009212727570936526
26,7751.T,2020-12-31,0.009701162147205313
27,7751.T,2021-12-31,0.008686915171038503
28,A,2018-10-31,1.0
29,A,2019-10-31,1.0
30,A,2020-10-31,1.0
31,A,2021-10-31,1.0
32,AA,2018-12-31,1.0
33,AA,2019-12-31,1.0
34,AA,2020-12-31,1.0
35,AA,2021-12-31,1.0
36,AAL,2018-12-31,1.0
37,AAL,2019-12-31,1.0
38,AAL,2020-12-31,1.0
39,AAL,2021-12-31,1.0
40,AAP,2018-12-31,1.0
41,AAP,2019-12-31,1.0
42,AAP,2020-12-31,1.0
43,AAP,2021-12-31,1.0
44,ABBN.SW,2018-12-31,1.0160617623569084
45,ABBN.SW,2019-12-31,1.0350101345126221
46,ABBN.SW,2020-12-31,1.1359933345676727
47,ABBN.SW,2021-12-31,1.096312070467525
48,ABEV3.SA,2018-12-31,0.25765076507650764
49,ABEV3.SA,2019-12-31,0.24877649090949355
50,ABEV3.SA,2020-12-31,0.1925315760571115
51,ABEV3.SA,2021-12-31,0.17949002392989016
52,ABT,2018-12-31,1.0
53,ABT,2019-12-31,1.0
54,ABT,2020-12-31,1.0
55,ABT,2021-12-31,1.0
56,ABX.TO,2018-12-31,0.7337391861582826
57,ABX.TO,2019-12-31,0.7695574736265242
58,ABX.TO,2020-12-31,0.7849421096398644
59,ABX.TO,2021-12-31,0.7869103036198152
60,ACA,2018-12-31,1.0
61,ACA,2019-12-31,1.0
62,ACA,2020-12-31,1.0
63,ACA,2021-12-31,1.0
64,ADI,2018-10-31,1.0
65,ADI,2019-10-31,1.0
66,ADI,2020-10-31,1.0
67,ADI,2021-10-31,1.0
68,ADM,2018-12-31,1.0
69,ADM,2019-12-31,1.0
70,ADM,2020-12-31,1.0
71,ADM,2021-12-31,1.0
72,AGCO,2018-12-31,1.0
73,AGCO,2019-12-31,1.0
74,AGCO,2020-12-31,1.0
75,AGCO,2021-12-31,1.0
76,AGR,2018-12-31,1.0
77,AGR,2019-12-31,1.0
78,AGR,2020-12-31,1.0
79,AGR,2021-12-31,1.0
80,AIMC,2018-12-31,1.0
81,AIMC,2019-12-31,1.0
